Name,Ticker,ISIN
01NFI,01N,PLNFI0100011
06MAGNA,06N,PLNFI0600010
08OCTAVA,08N,PLNFI0800016
11BIT,11B,PL11BTS00015
13FORTUNA,13N,PLNFI1300016
14ZACH,14N,PLNFI1400014
4FUNMEDIA,4FM,PL4FNMD00013
AAT HOLDING,AHL,PLAATHL00018
ABADON REAL ESTATE,ABA,PLVARNT00019
ABCDATA,ABC,PLABCDT00014
ABG,ABG,PLSTRPR00014
ABMSOLID,ABM,PLABMSD00015
ABPL,ABE,PLAB00000019
ACAUTOGAZ,ACG,PLACSA000014
ACE,ACE,LU0299378421
ACTION,ACT,PLACTIN00018
ADV,ADV,PLADVIV00015
ADVADIS,ADS,PLMBRST00015
AGORA,AGO,PLAGORA00067
AGROTON,AGT,CY0101062111
AILLERON,ALL,PLWNDMB00010
AIRWAY MEDIX,AWM,PLAIRWY00017
ALCHEMIA,ALC,PLGRBRN00012
ALIOR BANK,ALR,PLALIOR00045
ALMA MARKET,ALM,PLKRCHM00015
ALTA,AAT,PLTRNSU00013
ALTERCO,ALT,PLSRBEX00014
ALTUS TFI,ALI,PLATTFI00018
ALUMETAL,AML,PLALMTL00023
AMBRA,AMB,PLAMBRA00013
AMICA,AMC,PLAMICA00010
AMPLI,APL,PLAMPLI00019
AMREST,EAT,NL0000474351
APATOR,APT,PLAPATR00018
APLISENS,APN,PLAPLS000016
APS ENERGIA,APE,PLAPSEN00011
ARCHICOM,ARH,PLARHCM00016
ARCTIC,ATC,PLARTPR00012
ARCUS,ARC,PLARCUS00040
ARMATURA,ARM,PLKFARM00013
ARTEFE,ART,PLARTFX00011
ARTERIA,ARR,PLARTER00016
ASBIS,ASB,CY1000031710
ASM Group,ASM,PLASMGR00014
ASSECOBS,ABS,PLABS0000018
ASSECOPOL,ACP,PLSOFTB00016
ASSECOSEE,ASE,PLASSEE00014
ASSECOSLO,ACS,PLATMSA00013
ASTARTA,AST,NL0000686509
ATAL,1AT,PLATAL000046
ATENDE,ATD,PLATMSI00016
ATLANTAPL,ATP,PLATLPL00018
ATLANTIS,ATS,PLATLNT00016
ATM,ATM,PLATMSA00013
ATMGRUPA,ATG,PLATM0000021
ATREM,ATR,PLATREM00017
AUGA GROUP AB,AUG,LT0000127466
AUTO PARTNER,APR,PLATPRT00018
AVIAAM LEASING AB,AAL,LT0000128555
AVIASG,ASG,LT0000128381
AWBUD,AWB,PLINSTL00011
AZOTYTARNOW,ATT,PLZATRM00012
B.A.C.D.,BAC,PLIDATF00012
B3SYSTEM,B3S,PLBSSTM00013
BAKALLAND,BAK,PLBKLND00017
BALTONA,BAL,PLBALTN00014
BANCO SANTANDER,SAN,ES0113900J37
BANKBPH,BPH,PLBPH0000019
BARLINEK,BRK,PLBRLNK00017
BBIDEVNFI,BBD,PLNFI1200018
BEDZIN,BDZ,PLECBDZ00013
BENEFIT,BFT,PLBNFTS00018
BERLING,BRG,PLBRLNG00015
BEST,BST,PLBEST000010
BETACOM,BCM,PLBTCOM00016
BGZ,BGZ,PLBGZ0000010
BIOMEDLUB,BML,PLBMDLB00018
BIOTON,BIO,PLBIOTN00029
BIPROMET,BPM,PLBPRMT00011
BIURO INWESTYCJI KAPITALOWYCH,BIK,PLBIKPT00014
BNPPL,BNP,PLPPAB000011
BOGDANKA,LWB,PLLWBGD00016
BOMI,BMI,PLBOMI000017
BORYSZEW,BRS,PLBRSZW00011
BOS,BOS,PLBOS0000019
BOWIM,BOW,PLBOWM000019
BRASTER,BRA,PLBRSTR00014
BRITISH AUTOMOTIVE HOLDING,BAH,PLMRVPL00016
BSCDRUK,BSC,PLBSCDO00017
BUDIMEX,BDX,PLBUDMX00013
BUDOPOL,BDL,PLBDPWR00014
BUMECH,BMC,PLBMECH00012
BUWOG AG,BWO,AT00BUWOG001
BYTOM,BTM,PLBYTOM00010
BZWBK,BZW,PLBZ00000044
CALATRAVA,CTC,PLBRSTM00015
CAPITAL,CPA,PLCPTLP00015
CAPITAL PARK,CPG,PLCPPRK00037
CASHFLOW,CFL,PLCASHF00018
CCC,CCC,PLCCC0000016
CCENERGY,CCE,PLKAREN00014
CDPROJEKT,CDR,PLOPTTC00011
CDRL,CDL,PLCDRL000043
CEDC,CDC,US1534351028
CELON PHARMA,CLN,PLCLNPH00015
CELTIC,CPD,PLCELPD00013
CENTKLIMA,CKL,#N/A
CEZ,CEZ,CZ0005112300
CFI HOLDING,CFI,PLINTKS00013
CHEMOS,CHS,PLCHMDW00010
CIECH,CIE,PLCIECH00018
CIGAMES,CIG,PLCTINT00018
CITY SERVICE SE,CTS,EE3100126368
CNT,CNT,PLERGPL00014
COALENERG,CLE,LU0646112838
COGNOR,COG,PLCNTSL00014
COLIAN,COL,PLJTRZN00011
COMARCH,CMR,PLCOMAR00012
COMP,CMP,PLCMP0000017
COMPERIA,CPL,PLCOMPR00010
CORMAY,CRM,PLCMRAY00029
CSS,CSS,PLCSSUP00012
CUBEITG,CTG,PLMCINT00013
CYFRPLSAT,CPS,PLCFRPT00013
CZTOREBKA,CZT,PLCRWTR00022
DEBICA,DBC,PLDEBCA00016
DECORA,DCR,PLDECOR00013
DEKPOL,DEK,PLDEKPL00032
DELKO,DEL,PLDELKO00019
DGA,DGA,PLDGA0000019
DNP,DNP,PLDINPL00011
